86_out.jpg: NIQE=42.5120311831742  with dealing time: 41.54581356048584
87_out.jpg: NIQE=46.31982146706652  with dealing time: 41.05057144165039
88_out.jpg: NIQE=45.9441603601835  with dealing time: 40.90230631828308
89_out.jpg: NIQE=42.617872391434425  with dealing time: 41.60755014419556
8_out.jpg: NIQE=38.44458048741095  with dealing time: 41.7122528553009
90_out.jpg: NIQE=44.23542520748299  with dealing time: 39.027618646621704
91_out.jpg: NIQE=42.61144845459426  with dealing time: 39.50164818763733
92_out.jpg: NIQE=45.30780443762956  with dealing time: 39.001471757888794
93_out.jpg: NIQE=50.42733377599439  with dealing time: 40.41122484207153
94_out.jpg: NIQE=46.29433649770079  with dealing time: 41.96350121498108
95_out.jpg: NIQE=50.556055209786486  with dealing time: 42.59491229057312
96_out.jpg: NIQE=56.489654292779754  with dealing time: 43.62843990325928
97_out.jpg: NIQE=54.52653894212857  with dealing time: 41.92903971672058
98_out.jpg: NIQE=46.40357772678464  with dealing time: 40.67589831352234
99_out.jpg: NIQE=44.156641886379774  with dealing time: 39.98356580734253
9_out.jpg: NIQE=37.989202353837946  with dealing time: 40.9288432598114

183 Image Average: NIQE=47.94819626250255, TimePerImage=57.39555602907483, SumTime = 10503.386753320694s

